P(a | i.) 0.04067660088602497
P(gave | bride) 0.042383550146873686
P(me | gave) 0.03910181958962446
P(a | me) 0.02414535022710973
P(sovereign, | a) 0.004813420387933088
P(and | sovereign,) 0.042383550146873686
P(to | mean) 0.042383550146873686
P(wear | to) 0.004790589574538728
P(it | wear) 0.04067660088602497
P(my | on) 0.043857735108007855
P(watch | my) 0.01265188525616936
P(chain | watch) 0.03629177146963708
P(in | chain) 0.042383550146873686
P(memory | in) 0.006786266209769535
P(of | memory) 0.042383550146873686
P(occasion.” | the) 0.0026521019877635693
P(unexpected | very) 0.026010816379088336
P(turn | unexpected) 0.042383550146873686
P(of | turn) 0.04067660088602497
P(affairs,” | of) 0.004375514447862063
P(said | affairs,”) 0.042383550146873686
P(i; | said) 0.0215673713431561
P(“and | i;) 0.042383550146873686
P(then?” | what) 0.05046447401456188
P(i | “well,) 0.03910181958962446
P(my | found) 0.03503295178633368
P(plans | my) 0.01265188525616936
P(very | plans) 0.042383550146873686
P(seriously | very) 0.026010816379088336
P(menaced. | seriously) 0.04067660088602497
P(it | menaced.) 0.042383550146873686
P(looked | it) 0.009113056031760354
P(as | looked) 0.03276029841063899
P(might | pair) 0.04067660088602497
P(take | might) 0.033858531679517266
P(an | take) 0.03629177146963708
P(immediate | an) 0.023581601681064674
P(departure, | immediate) 0.042383550146873686
P(and | departure,) 0.042383550146873686
P(necessitate | so) 0.030764544623819678
P(very | necessitate) 0.042383550146873686
P(prompt | very) 0.026010816379088336
P(energetic | and) 0.004636643253913602
P(measures | energetic) 0.04067660088602497
P(on | measures) 0.042383550146873686
P(part. | my) 0.01265188525616936
P(at | part.) 0.04067660088602497
P(door, | church) 0.037644427879239654
P(however, | door,) 0.04067660088602497
P(they | however,) 0.03910181958962446
P(he | separated,) 0.042383550146873686
P(driving | he) 0.009918491603653148
P(back | driving) 0.042383550146873686
P(to | back) 0.037644427879239654
P(temple, | the) 0.0026521019877635693
P(and | temple,) 0.042383550146873686
P(her | to) 0.004790589574538728
P(own | her) 0.06293121471879573
P(house. | own) 0.028188668713368687
P(‘i | house.) 0.03910181958962446
P(drive | shall) 0.03503295178633368
P(out | drive) 0.04067660088602497
P(park | the) 0.0026521019877635693
P(at | park) 0.042383550146873686
P(as | five) 0.03503295178633368
P(usual,’ | as) 0.013867911574900454
P(she | usual,’) 0.042383550146873686
P(said | she) 0.015579207157180319
P(as | said) 0.04292120435618193
P(she | as) 0.013867911574900454
P(left | she) 0.015579207157180319
P(no | heard) 0.037644427879239654
P(more. | no) 0.0317310713163682
P(they | more.) 0.03910181958962446
P(drove | they) 0.028997990238300318
P(away | drove) 0.037644427879239654
P(in | away) 0.037644427879239654
P(different | in) 0.006786266209769535
P(directions, | different) 0.042383550146873686
P(and | directions,) 0.042383550146873686
P(off | went) 0.042383550146873686
P(to | off) 0.042383550146873686
P(make | to) 0.014276905563724325
P(my | make) 0.03503295178633368
P(arrangements.” | own) 0.028188668713368687
P(are?” | “which) 0.042383550146873686
P(cold | “some) 0.042383550146873686
P(beef | cold) 0.042383550146873686
P(and | beef) 0.042383550146873686
P(beer,” | of) 0.004375514447862063
P(he | beer,”) 0.042383550146873686
P(ringing | answered,) 0.04067660088602497
P(the | ringing) 0.042383550146873686
P(“i | bell.) 0.04067660088602497
P(too | been) 0.02252955610082534
P(busy | too) 0.03503295178633368
P(to | busy) 0.042383550146873686
P(of | think) 0.03629177146963708
P(food, | of) 0.004375514447862063
P(and | food,) 0.042383550146873686
P(likely | am) 0.026010816379088336
P(to | likely) 0.042383550146873686
P(busier | be) 0.014673834083975011
P(still | busier) 0.042383550146873686
P(evening. | this) 0.02473671320107764
P(by | evening.) 0.042383550146873686
P(doctor, | way,) 0.03910181958962446
P(i | doctor,) 0.04067660088602497
P(want | shall) 0.03503295178633368
P(co-operation.” | your) 0.02203796639755619
P(shall | “i) 0.018420572679190225
P(delighted.” | be) 0.014673834083975011
P(don’t | “you) 0.026010816379088336
P(mind | don’t) 0.03910181958962446
P(breaking | mind) 0.03629177146963708
P(the | breaking) 0.042383550146873686
P(law?” | the) 0.0026521019877635693
P(in | “not) 0.07491613865076406
P(least.” | the) 0.0026521019877635693
P(running | “nor) 0.042383550146873686
P(a | running) 0.03910181958962446
P(chance | a) 0.004813420387933088
P(of | chance) 0.042383550146873686
P(arrest?” | of) 0.004375514447862063
P(cause.” | good) 0.03276029841063899
P(the | “oh,) 0.037644427879239654
P(cause | the) 0.0026521019877635693
P(is | cause) 0.042383550146873686
P(excellent!” | is) 0.01163192445007486
P(your | am) 0.026010816379088336
P(man.” | your) 0.02203796639755619
P(sure | was) 0.00842860719352416
P(might | i) 0.005292668867578473
P(rely | might) 0.033858531679517266
P(on | rely) 0.08095046314941601
P(you.” | on) 0.02203796639755619
P(what | “but) 0.0317310713163682
P(it | is) 0.01163192445007486
P(you | it) 0.009113056031760354
P(wish?” | you) 0.01088010341484434
P(mrs. | “when) 0.04067660088602497
P(turner | mrs.) 0.042383550146873686
P(has | turner) 0.042383550146873686
P(brought | has) 0.02473671320107764
P(in | brought) 0.04067660088602497
P(tray | the) 0.0026521019877635693
P(i | tray) 0.042383550146873686
P(make | will) 0.02111645410830023
P(it | make) 0.06971904266389177
P(clear | it) 0.009113056031760354
P(to | clear) 0.04067660088602497
P(you. | to) 0.004790589574538728
P(he | now,”) 0.042383550146873686
P(said | he) 0.009918491603653148
P(turned | he) 0.009918491603653148
P(hungrily | turned) 0.03910181958962446
P(on | hungrily) 0.042383550146873686
P(simple | the) 0.0026521019877635693
P(fare | simple) 0.04067660088602497
P(that | fare) 0.042383550146873686
P(our | that) 0.010324031483185118
P(had | landlady) 0.04067660088602497
P(provided, | had) 0.014673834083975011
P(“i | provided,) 0.042383550146873686
P(must | “i) 0.018420572679190225
P(discuss | must) 0.0274232962259028
P(it | discuss) 0.042383550146873686
P(while | it) 0.009113056031760354
P(i | while) 0.06519623743107363
P(eat, | i) 0.005292668867578473
P(for | eat,) 0.042383550146873686
P(i | for) 0.03600214938205266
P(time. | much) 0.03629177146963708
P(it | time.) 0.042383550146873686
P(nearly | is) 0.01163192445007486
P(five | nearly) 0.042383550146873686
P(now. | five) 0.03503295178633368
P(in | now.) 0.03910181958962446
P(two | in) 0.006786266209769535
P(hours | two) 0.029855158143659476
P(we | hours) 0.042383550146873686
P(must | we) 0.04805163758068372
P(on | be) 0.014673834083975011
P(action. | of) 0.004375514447862063
P(miss | action.) 0.042383550146873686
P(irene, | miss) 0.037644427879239654
P(or | irene,) 0.042383550146873686
P(madame, | or) 0.023581601681064674
P(rather, | madame,) 0.042383550146873686
P(returns | rather,) 0.042383550146873686
P(from | returns) 0.04067660088602497
P(her | from) 0.034166241713411524
P(drive | her) 0.02111645410830023
P(at | drive) 0.04067660088602497
P(we | seven.) 0.042383550146873686
P(at | be) 0.014673834083975011
P(to | lodge) 0.03910181958962446
P(meet | to) 0.004790589574538728
P(her.” | meet) 0.042383550146873686
P(must | “you) 0.026010816379088336
P(leave | must) 0.0274232962259028
P(that | leave) 0.042383550146873686
P(to | that) 0.010324031483185118
P(me. | to) 0.009533747569131527
P(i | me.) 0.07491613865076406
P(arranged | already) 0.03629177146963708
P(what | arranged) 0.042383550146873686
P(occur. | to) 0.004790589574538728
P(only | is) 0.01163192445007486
P(point | one) 0.02203796639755619
P(on | point) 0.04067660088602497
P(insist. | must) 0.0274232962259028
P(you | insist.) 0.042383550146873686
P(must | you) 0.01088010341484434
P(not | must) 0.0274232962259028
P(interfere, | not) 0.015823280589064705
P(what | come) 0.04067660088602497
P(may. | what) 0.025357770524730105
P(you | may.) 0.042383550146873686
P(understand?” | you) 0.01088010341484434
P(to | am) 0.05176409992274015
P(neutral?” | be) 0.014673834083975011
P(do | “to) 0.03910181958962446
P(nothing | do) 0.02203796639755619
P(whatever. | nothing) 0.03629177146963708
P(there | whatever.) 0.042383550146873686
P(will | there) 0.02203796639755619
P(probably | will) 0.02111645410830023
P(be | probably) 0.04067660088602497
P(some | be) 0.014673834083975011
P(small | some) 0.028997990238300318
P(do | unpleasantness.) 0.042383550146873686
P(join | not) 0.015823280589064705
P(in | join) 0.042383550146873686
P(it. | in) 0.006786266209769535
P(it | it.) 0.06314797360980207
P(will | it) 0.018135883785978524
P(end | will) 0.02111645410830023
P(in | end) 0.037644427879239654
P(being | my) 0.01265188525616936
P(conveyed | being) 0.037644427879239654
P(house. | the) 0.0026521019877635693
P(four | house.) 0.03910181958962446
P(or | four) 0.04067660088602497
P(five | or) 0.023581601681064674
P(afterwards | minutes) 0.033858531679517266
P(the | afterwards) 0.042383550146873686
P(sitting-room | the) 0.0026521019877635693
P(window | sitting-room) 0.04067660088602497
P(open. | will) 0.02111645410830023
P(you | open.) 0.04067660088602497
P(to | are) 0.04585900068446269
P(station | to) 0.004790589574538728
P(yourself | station) 0.04067660088602497
P(close | yourself) 0.03910181958962446
P(to | close) 0.04067660088602497
P(that | to) 0.004790589574538728
P(open | that) 0.010324031483185118
P(window.” | open) 0.03629177146963708
P(watch | to) 0.009533747569131527
P(me, | watch) 0.03629177146963708
P(for | me,) 0.037644427879239654
P(visible | be) 0.014673834083975011
P(to | visible) 0.042383550146873686
P(when | “and) 0.030764544623819678
P(raise | i) 0.005292668867578473
P(my | raise) 0.03629177146963708
P(hand—so—you | my) 0.01265188525616936
P(will | hand—so—you) 0.042383550146873686
P(throw | will) 0.02111645410830023
P(into | throw) 0.03910181958962446
P(what | room) 0.03629177146963708
P(give | i) 0.005292668867578473
P(to | you) 0.01088010341484434
P(throw, | to) 0.004790589574538728
P(and | throw,) 0.042383550146873686
P(will, | and) 0.004636643253913602
P(at | will,) 0.04067660088602497
P(same | the) 0.007903789092245884
P(time, | same) 0.03910181958962446
P(raise | time,) 0.042383550146873686
P(the | raise) 0.07222421846927775
P(cry | the) 0.005277945540004726
P(of | cry) 0.1440891124685591
P(fire. | of) 0.004375514447862063
P(you | fire.) 0.042383550146873686
P(follow | quite) 0.03629177146963708
P(me?” | follow) 0.037644427879239654
P(very | nothing) 0.03629177146963708
P(formidable,” | very) 0.026010816379088336
P(he | formidable,”) 0.042383550146873686
P(said, | he) 0.009918491603653148
P(taking | said,) 0.04067660088602497
P(a | taking) 0.04067660088602497
P(long | a) 0.004813420387933088
P(cigar-shaped | long) 0.03910181958962446
P(from | roll) 0.042383550146873686
P(pocket. | his) 0.008499537153917361
P(“it | pocket.) 0.042383550146873686
P(an | is) 0.01163192445007486
P(ordinary | an) 0.023581601681064674
P(plumber’s | ordinary) 0.042383550146873686
P(smoke-rocket, | plumber’s) 0.042383550146873686
P(fitted | smoke-rocket,) 0.042383550146873686
P(cap | a) 0.004813420387933088
P(at | cap) 0.042383550146873686
P(either | at) 0.013867911574900454
P(end | either) 0.04067660088602497
P(to | end) 0.037644427879239654
P(self-lighting. | it) 0.009113056031760354
P(your | self-lighting.) 0.042383550146873686
P(task | your) 0.02203796639755619
P(is | task) 0.042383550146873686
P(to | confined) 0.042383550146873686
P(that. | to) 0.004790589574538728
P(when | that.) 0.04067660088602497
P(you | when) 0.026010816379088336
P(raise | you) 0.01088010341484434
P(your | raise) 0.03629177146963708
P(cry | your) 0.02203796639755619
P(fire, | of) 0.008707706970497768
P(it | fire,) 0.03910181958962446
P(up | taken) 0.04067660088602497
P(quite | by) 0.02203796639755619
P(number | a) 0.009579183148262877
P(of | number) 0.08095046314941601
P(people. | of) 0.004375514447862063
P(you | people.) 0.042383550146873686
P(then | may) 0.026698387523129793
P(walk | then) 0.0317310713163682
P(to | walk) 0.03910181958962446
P(rejoin | will) 0.02111645410830023
P(you | rejoin) 0.042383550146873686
P(in | you) 0.01088010341484434
P(ten | in) 0.013505341664986896
P(minutes. | ten) 0.03910181958962446
P(i | minutes.) 0.04067660088602497
P(hope | i) 0.005292668867578473
P(that | hope) 0.04067660088602497
P(made | have) 0.014890166592952971
P(clear?” | myself) 0.03503295178633368
P(remain | to) 0.004790589574538728
P(neutral, | remain) 0.042383550146873686
P(to | neutral,) 0.042383550146873686
P(get | to) 0.009533747569131527
P(near | get) 0.037644427879239654
P(the | near) 0.04067660088602497
P(window, | the) 0.0026521019877635693
P(to | window,) 0.042383550146873686
P(you, | watch) 0.03629177146963708
P(at | and) 0.009227379148877564
P(signal | the) 0.005277945540004726
P(to | signal) 0.04067660088602497
P(throw | to) 0.004790589574538728
P(in | throw) 0.03910181958962446
P(object, | this) 0.02473671320107764
P(then | object,) 0.042383550146873686
P(raise | to) 0.004790589574538728
P(and | fire,) 0.03910181958962446
P(wait | to) 0.004790589574538728
P(you | wait) 0.042383550146873686
P(at | you) 0.01088010341484434
P(corner | the) 0.007903789092245884
P(of | corner) 0.03910181958962446
P(street.” | the) 0.0026521019877635693
P(you | “then) 0.03503295178633368
P(entirely | may) 0.026698387523129793
P(rely | entirely) 0.042383550146873686
P(me.” | on) 0.02203796639755619
P(excellent. | is) 0.01163192445007486
P(i | excellent.) 0.042383550146873686
P(perhaps, | think,) 0.03910181958962446
P(it | perhaps,) 0.042383550146873686
P(almost | is) 0.01163192445007486
P(time | almost) 0.03910181958962446
P(that | time) 0.037644427879239654
P(prepare | i) 0.005292668867578473
P(new | the) 0.0026521019877635693
P(role | new) 0.03910181958962446
P(i | role) 0.042383550146873686
P(play.” | to) 0.004790589574538728
P(disappeared | he) 0.009918491603653148
P(into | disappeared) 0.042383550146873686
P(bedroom | his) 0.008499537153917361
P(and | bedroom) 0.042383550146873686
P(returned | and) 0.004636643253913602
P(in | returned) 0.03910181958962446
P(minutes | few) 0.07491613865076406
P(in | minutes) 0.033858531679517266
P(amiable | an) 0.023581601681064674
P(and | amiable) 0.042383550146873686
P(simple-minded | and) 0.004636643253913602
P(nonconformist | simple-minded) 0.042383550146873686
P(clergyman. | nonconformist) 0.042383550146873686
P(his | clergyman.) 0.042383550146873686
P(black | broad) 0.04067660088602497
P(hat, | black) 0.03910181958962446
P(his | hat,) 0.042383550146873686
P(baggy | his) 0.008499537153917361
P(trousers, | baggy) 0.042383550146873686
P(his | trousers,) 0.042383550146873686
P(white | his) 0.008499537153917361
P(tie, | white) 0.04067660088602497
P(his | tie,) 0.042383550146873686
P(sympathetic | his) 0.008499537153917361
P(and | smile,) 0.042383550146873686
P(general | and) 0.004636643253913602
P(look | general) 0.04067660088602497
P(of | look) 0.037644427879239654
P(peering | of) 0.004375514447862063
P(and | peering) 0.042383550146873686
P(benevolent | and) 0.004636643253913602
P(curiosity | benevolent) 0.042383550146873686
P(were | curiosity) 0.042383550146873686
P(such | were) 0.02414535022710973
P(mr. | as) 0.013867911574900454
P(john | mr.) 0.03910181958962446
P(hare | john) 0.042383550146873686
P(alone | hare) 0.042383550146873686
P(could | alone) 0.042383550146873686
P(have | could) 0.04692972215736633
P(equalled. | have) 0.014890166592952971
P(it | equalled.) 0.042383550146873686
P(merely | not) 0.015823280589064705
P(that | merely) 0.04067660088602497
P(changed | holmes) 0.02414535022710973
P(his | changed) 0.04067660088602497
P(costume. | his) 0.008499537153917361
P(his | costume.) 0.042383550146873686
P(expression, | his) 0.008499537153917361
P(his | expression,) 0.042383550146873686
P(manner, | his) 0.008499537153917361
P(his | manner,) 0.042383550146873686
P(very | his) 0.008499537153917361
P(vary | to) 0.004790589574538728
P(with | vary) 0.042383550146873686
P(every | with) 0.01265188525616936
P(fresh | every) 0.03503295178633368
P(part | fresh) 0.042383550146873686
P(that | part) 0.033858531679517266
P(assumed. | he) 0.009918491603653148
P(the | assumed.) 0.042383550146873686
P(stage | the) 0.0026521019877635693
P(lost | stage) 0.042383550146873686
P(a | lost) 0.03910181958962446
P(actor, | fine) 0.042383550146873686
P(even | actor,) 0.042383550146873686
P(science | as) 0.013867911574900454
P(lost | science) 0.042383550146873686
P(an | lost) 0.03910181958962446
P(acute | an) 0.023581601681064674
P(reasoner, | acute) 0.042383550146873686
P(when | reasoner,) 0.042383550146873686
P(he | when) 0.026010816379088336
P(became | he) 0.009918491603653148
P(a | became) 0.04067660088602497
P(in | specialist) 0.042383550146873686
P(crime. | in) 0.006786266209769535
P(past | quarter) 0.04067660088602497
P(six | past) 0.03910181958962446
P(when | six) 0.037644427879239654
P(we | when) 0.05176409992274015
P(left | we) 0.02414535022710973
P(baker | left) 0.03629177146963708
P(still | it) 0.009113056031760354
P(ten | wanted) 0.04067660088602497
P(minutes | ten) 0.07781649245063878
P(hour | the) 0.0026521019877635693
P(when | hour) 0.042383550146873686
P(found | we) 0.02414535022710973
P(ourselves | found) 0.03503295178633368
P(in | ourselves) 0.042383550146873686
P(serpentine | in) 0.006786266209769535
P(it | avenue.) 0.08095046314941601
P(dusk, | already) 0.03629177146963708
P(and | dusk,) 0.042383550146873686
P(lamps | the) 0.005277945540004726
P(were | lamps) 0.04067660088602497
P(just | were) 0.02414535022710973
P(being | just) 0.029855158143659476
P(lighted | being) 0.037644427879239654
P(as | lighted) 0.042383550146873686
P(paced | we) 0.04805163758068372
P(briony | of) 0.008707706970497768
P(waiting | lodge,) 0.037644427879239654
P(for | waiting) 0.042383550146873686
P(coming | the) 0.0026521019877635693
P(occupant. | its) 0.03629177146963708
P(the | occupant.) 0.042383550146873686
P(was | house) 0.03629177146963708
P(such | just) 0.029855158143659476
P(pictured | had) 0.014673834083975011
P(it | pictured) 0.042383550146873686
P(from | it) 0.009113056031760354
P(holmes’ | sherlock) 0.04067660088602497
P(succinct | holmes’) 0.042383550146873686
P(description, | succinct) 0.042383550146873686
P(but | description,) 0.042383550146873686
P(locality | the) 0.0026521019877635693
P(appeared | locality) 0.042383550146873686
P(private | less) 0.037644427879239654
P(than | private) 0.04067660088602497
P(expected. | i) 0.005292668867578473
P(on | expected.) 0.042383550146873686
P(contrary, | the) 0.0026521019877635693
P(for | contrary,) 0.042383550146873686
P(a | for) 0.018090632276553824
P(street | small) 0.03629177146963708
P(in | street) 0.03910181958962446
P(neighbourhood, | quiet) 0.04067660088602497
P(it | neighbourhood,) 0.042383550146873686
P(remarkably | was) 0.00842860719352416
P(animated. | remarkably) 0.04067660088602497
P(there | animated.) 0.042383550146873686
P(group | a) 0.004813420387933088
P(of | group) 0.042383550146873686
P(dressed | shabbily) 0.042383550146873686
P(men | dressed) 0.03910181958962446
P(smoking | men) 0.037644427879239654
P(and | smoking) 0.042383550146873686
P(laughing | and) 0.004636643253913602
P(in | laughing) 0.03910181958962446
P(corner, | a) 0.004813420387933088
P(a | corner,) 0.042383550146873686
P(with | scissors-grinder) 0.042383550146873686
P(wheel, | his) 0.008499537153917361
P(two | wheel,) 0.042383550146873686
P(guardsmen | two) 0.029855158143659476
P(who | guardsmen) 0.04067660088602497
P(were | who) 0.0395435766279756
P(flirting | were) 0.02414535022710973
P(with | flirting) 0.042383550146873686
P(and | nurse-girl,) 0.042383550146873686
P(several | and) 0.004636643253913602
P(well-dressed | several) 0.04067660088602497
P(young | well-dressed) 0.042383550146873686
P(men | young) 0.03910181958962446
P(who | men) 0.037644427879239654
P(lounging | were) 0.02414535022710973
P(up | lounging) 0.04067660088602497
P(with | down) 0.02473671320107764
P(cigars | with) 0.01265188525616936
P(in | cigars) 0.042383550146873686
P(their | in) 0.006786266209769535
P(mouths. | their) 0.0317310713163682
P(see,” | “you) 0.026010816379088336
P(remarked | see,”) 0.042383550146873686
P(holmes, | remarked) 0.042383550146873686
P(as | holmes,) 0.037644427879239654
P(we | as) 0.013867911574900454
P(to | paced) 0.03910181958962446
P(and | to) 0.004790589574538728
P(fro | and) 0.004636643253913602
P(in | fro) 0.042383550146873686
P(“this | house,) 0.04067660088602497
P(marriage | “this) 0.033858531679517266
P(rather | marriage) 0.04067660088602497
P(simplifies | rather) 0.03910181958962446
P(matters. | simplifies) 0.042383550146873686
P(the | matters.) 0.042383550146873686
P(becomes | photograph) 0.03910181958962446
P(double-edged | a) 0.004813420387933088
P(weapon | double-edged) 0.042383550146873686
P(now. | weapon) 0.042383550146873686
P(the | now.) 0.03910181958962446
P(chances | the) 0.0026521019877635693
P(are | chances) 0.042383550146873686
P(that | are) 0.023043577458361855
P(as | be) 0.014673834083975011
P(averse | as) 0.013867911574900454
P(its | to) 0.009533747569131527
P(being | its) 0.03629177146963708
P(seen | being) 0.037644427879239654
P(by | seen) 0.037644427879239654
P(mr. | by) 0.02203796639755619
P(as | norton,) 0.03910181958962446
P(our | as) 0.013867911574900454
P(client | our) 0.0317310713163682
P(is | client) 0.04067660088602497
P(coming | its) 0.03629177146963708
P(eyes | the) 0.0026521019877635693
P(of | eyes) 0.033858531679517266
P(princess. | his) 0.008499537153917361
P(now | princess.) 0.042383550146873686
P(the | now) 0.03503295178633368
P(question | the) 0.0026521019877635693
P(is, | question) 0.04067660088602497
P(where | is,) 0.042383550146873686
P(are | where) 0.033858531679517266
P(we | are) 0.023043577458361855
P(to | we) 0.02414535022710973
P(find | to) 0.009533747569131527
P(indeed?” | “where,) 0.04067660088602497
P(most | is) 0.01163192445007486
P(unlikely | most) 0.030764544623819678
P(that | unlikely) 0.042383550146873686
P(carries | she) 0.015579207157180319
P(it | carries) 0.042383550146873686
P(about | it) 0.018135883785978524
P(with | about) 0.06519623743107363
P(her. | with) 0.01265188525616936
P(it | her.) 0.04067660088602497
P(cabinet | is) 0.01163192445007486
P(too | size.) 0.042383550146873686
P(large | too) 0.03503295178633368
P(for | large) 0.037644427879239654
P(easy | for) 0.018090632276553824
P(concealment | easy) 0.042383550146873686
P(about | concealment) 0.042383550146873686
P(a | about) 0.03276029841063899
P(woman’s | a) 0.004813420387933088
P(dress. | woman’s) 0.042383550146873686
P(she | dress.) 0.042383550146873686
P(knows | she) 0.015579207157180319
P(is | king) 0.03629177146963708
P(capable | is) 0.01163192445007486
P(of | capable) 0.042383550146873686
P(having | of) 0.004375514447862063
P(her | having) 0.04067660088602497
P(waylaid | her) 0.02111645410830023
P(and | waylaid) 0.042383550146873686
P(searched. | and) 0.004636643253913602
P(two | searched.) 0.042383550146873686
P(of | attempts) 0.04067660088602497
P(sort | the) 0.0026521019877635693
P(have | sort) 0.042383550146873686
P(been | already) 0.03629177146963708
P(we | made.) 0.04067660088602497
P(may | we) 0.02414535022710973
P(take | may) 0.026698387523129793
P(then, | it,) 0.03503295178633368
P(that | then,) 0.04067660088602497
P(does | she) 0.015579207157180319
P(not | does) 0.04067660088602497
P(carry | not) 0.015823280589064705
P(it | carry) 0.04067660088602497
P(her.” | with) 0.01265188525616936
P(then?” | “where,) 0.04067660088602497
P(banker | “her) 0.042383550146873686
P(or | banker) 0.042383550146873686
P(her | or) 0.023581601681064674
P(lawyer. | her) 0.02111645410830023
P(there | lawyer.) 0.04067660088602497
P(that | is) 0.01163192445007486
P(double | that) 0.010324031483185118
P(possibility. | double) 0.04067660088602497
P(but | possibility.) 0.042383550146873686
P(to | inclined) 0.042383550146873686
P(neither. | think) 0.03629177146963708
P(women | neither.) 0.042383550146873686
P(are | women) 0.042383550146873686
P(naturally | are) 0.023043577458361855
P(secretive, | naturally) 0.042383550146873686
P(and | secretive,) 0.042383550146873686
P(they | and) 0.004636643253913602
P(like | they) 0.028997990238300318
P(their | do) 0.02203796639755619
P(secreting. | own) 0.028188668713368687
P(why | secreting.) 0.042383550146873686
P(she | should) 0.028997990238300318
P(hand | she) 0.015579207157180319
P(it | hand) 0.03629177146963708
P(over | it) 0.009113056031760354
P(to | over) 0.033858531679517266
P(anyone | to) 0.004790589574538728
P(else? | anyone) 0.042383550146873686
P(could | she) 0.031004164738546967
P(trust | could) 0.023581601681064674
P(her | trust) 0.03910181958962446
P(guardianship, | own) 0.028188668713368687
P(but | guardianship,) 0.042383550146873686
P(what | tell) 0.03629177146963708
P(or | indirect) 0.042383550146873686
P(political | or) 0.023581601681064674
P(influence | political) 0.042383550146873686
P(might | influence) 0.04067660088602497
P(be | might) 0.033858531679517266
P(brought | be) 0.014673834083975011
P(to | brought) 0.04067660088602497
P(bear | to) 0.004790589574538728
P(upon | bear) 0.042383550146873686
P(man. | business) 0.04067660088602497
P(besides, | man.) 0.03629177146963708
P(remember | besides,) 0.042383550146873686
P(that | remember) 0.042383550146873686
P(resolved | had) 0.014673834083975011
P(to | resolved) 0.042383550146873686
P(use | to) 0.004790589574538728
P(it | use) 0.04067660088602497
P(within | it) 0.009113056031760354
P(days. | few) 0.037644427879239654
P(it | days.) 0.042383550146873686
P(where | be) 0.014673834083975011
P(she | where) 0.033858531679517266
P(can | she) 0.015579207157180319
P(lay | can) 0.03629177146963708
P(her | lay) 0.04067660088602497
P(hands | her) 0.02111645410830023
P(upon | hands) 0.037644427879239654
P(it. | upon) 0.02252955610082534
P(her | in) 0.006786266209769535
P(house.” | own) 0.028188668713368687
P(it | “but) 0.0317310713163682
P(has | it) 0.009113056031760354
P(twice | has) 0.02473671320107764
P(been | twice) 0.03629177146963708
P(burgled.” | been) 0.02252955610082534
P(they | “pshaw!) 0.042383550146873686
P(did | they) 0.028997990238300318
P(to | how) 0.028997990238300318
P(look.” | to) 0.004790589574538728
P(how | “but) 0.0317310713163682
P(will | how) 0.028997990238300318
P(you | will) 0.02111645410830023
P(look?” | you) 0.01088010341484434
P(will | “i) 0.03665876345066569
P(look.” | not) 0.015823280589064705
P(then?” | “what) 0.037644427879239654
P(get | will) 0.02111645410830023
P(her | get) 0.037644427879239654
P(to | her) 0.02111645410830023
P(me.” | show) 0.04067660088602497
P(she | “but) 0.0317310713163682
P(refuse.” | will) 0.02111645410830023
P(be | not) 0.015823280589064705
P(able | be) 0.014673834083975011
P(to. | able) 0.04067660088602497
P(but | to.) 0.042383550146873686
P(the | hear) 0.04067660088602497
P(rumble | the) 0.0026521019877635693
P(of | rumble) 0.042383550146873686
P(wheels. | of) 0.004375514447862063
P(it | wheels.) 0.042383550146873686
P(her | is) 0.01163192445007486
P(now | carriage.) 0.042383550146873686
P(carry | now) 0.03503295178633368
P(out | carry) 0.04067660088602497
P(my | out) 0.025357770524730105
P(orders | my) 0.01265188525616936
P(to | orders) 0.042383550146873686
P(letter.” | the) 0.0026521019877635693
P(the | spoke) 0.03910181958962446
P(gleam | the) 0.0026521019877635693
P(of | gleam) 0.042383550146873686
P(sidelights | the) 0.0026521019877635693
P(of | sidelights) 0.042383550146873686
P(carriage | a) 0.004813420387933088
P(came | carriage) 0.042383550146873686
P(round | came) 0.03503295178633368
P(of | curve) 0.042383550146873686
P(avenue. | the) 0.0026521019877635693
P(smart | a) 0.004813420387933088
P(little | smart) 0.042383550146873686
P(landau | little) 0.028188668713368687
P(which | landau) 0.03910181958962446
P(rattled | which) 0.01534254898982227
P(up | rattled) 0.042383550146873686
P(of | door) 0.03503295178633368
P(as | lodge.) 0.04067660088602497
P(it | as) 0.013867911574900454
P(pulled | it) 0.009113056031760354
P(up, | pulled) 0.03910181958962446
P(one | up,) 0.04067660088602497
P(loafing | the) 0.0026521019877635693
P(men | loafing) 0.042383550146873686
P(at | men) 0.037644427879239654
P(dashed | corner) 0.03910181958962446
P(forward | dashed) 0.04067660088602497
P(to | forward) 0.042383550146873686
P(open | to) 0.004790589574538728
P(the | open) 0.07222421846927775
P(in | door) 0.03503295178633368
P(hope | the) 0.0026521019877635693
P(of | hope) 0.04067660088602497
P(earning | of) 0.004375514447862063
P(a | earning) 0.042383550146873686
P(but | copper,) 0.042383550146873686
P(was | but) 0.018090632276553824
P(elbowed | was) 0.00842860719352416
P(away | elbowed) 0.042383550146873686
P(by | away) 0.037644427879239654
P(another | by) 0.02203796639755619
P(loafer, | another) 0.04067660088602497
P(who | loafer,) 0.042383550146873686
P(rushed | had) 0.014673834083975011
P(up | rushed) 0.04067660088602497
P(with | up) 0.02026891430864941
P(intention. | same) 0.03910181958962446
P(a | intention.) 0.042383550146873686
P(fierce | a) 0.004813420387933088
P(quarrel | fierce) 0.04067660088602497
P(broke | quarrel) 0.042383550146873686
